2026-01-12 20:41:10,893 - INFO - 🚀 开始批量下载A股数据...
2026-01-12 20:41:10,893 - INFO - 数据路径: ./data
2026-01-12 20:41:10,893 - INFO - 时间范围: 20150101 至 20260112
2026-01-12 20:41:16,975 - INFO - 获取到 5470 只待下载股票
2026-01-12 20:41:34,022 - INFO - 获取到 1342 只待下载ETF
2026-01-12 20:41:37,583 - ERROR - ❌ 下载 000403.SZ (派林生物) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,590 - ERROR - ❌ 下载 000404.SZ (长虹华意) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,643 - ERROR - ❌ 下载 000410.SZ (沈阳机床) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,650 - ERROR - ❌ 下载 000411.SZ (英特集团) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,657 - ERROR - ❌ 下载 000409.SZ (云鼎科技) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,665 - ERROR - ❌ 下载 000408.SZ (藏格矿业) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,817 - ERROR - ❌ 下载 000415.SZ (渤海租赁) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,833 - ERROR - ❌ 下载 000420.SZ (吉林化纤) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,840 - ERROR - ❌ 下载 000417.SZ (合百集团) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,851 - ERROR - ❌ 下载 000419.SZ (通程控股) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,883 - ERROR - ❌ 下载 000421.SZ (南京公用) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,929 - ERROR - ❌ 下载 000422.SZ (湖北宜化) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,938 - ERROR - ❌ 下载 000425.SZ (徐工机械) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,963 - ERROR - ❌ 下载 000423.SZ (东阿阿胶) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:38,026 - ERROR - ❌ 下载 000426.SZ (兴业银锡) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:38,076 - ERROR - ❌ 下载 000430.SZ (*ST张股) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:38,084 - ERROR - ❌ 下载 000428.SZ (华天酒店) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:38,090 - ERROR - ❌ 下载 000429.SZ (粤高速Ａ) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:38,104 - ERROR - ❌ 下载 000488.SZ (ST晨鸣) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:38,151 - ERROR - ❌ 下载 000498.SZ (山东路桥) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:38,172 - ERROR - ❌ 下载 000503.SZ (国新健康) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:38,180 - ERROR - ❌ 下载 000501.SZ (武商集团) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:38,275 - ERROR - ❌ 下载 000504.SZ (*ST生物) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:38,414 - ERROR - ❌ 下载 000506.SZ (招金黄金) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:38,421 - ERROR - ❌ 下载 000505.SZ (京粮控股) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:38,436 - ERROR - ❌ 下载 000509.SZ (华塑控股) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:38,442 - ERROR - ❌ 下载 000507.SZ (珠海港) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:38,488 - ERROR - ❌ 下载 000514.SZ (渝 开 发) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:38,498 - ERROR - ❌ 下载 000510.SZ (新金路) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:38,505 - ERROR - ❌ 下载 000513.SZ (丽珠集团) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:38,512 - ERROR - ❌ 下载 000516.SZ (国际医学) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:38,513 - INFO - 批次完成，暂停3秒...
2026-01-12 20:41:41,518 - INFO - 下载批次 2/55，本批 100 个标的
2026-01-12 20:41:42,070 - ERROR - ❌ 下载 000521.SZ (长虹美菱) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,166 - ERROR - ❌ 下载 000525.SZ (红太阳) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,179 - ERROR - ❌ 下载 000520.SZ (凤凰航运) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,202 - ERROR - ❌ 下载 000518.SZ (*ST四环) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,209 - ERROR - ❌ 下载 000523.SZ (红棉股份) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,223 - ERROR - ❌ 下载 000517.SZ (荣安地产) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,230 - ERROR - ❌ 下载 000519.SZ (中兵红箭) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,231 - ERROR - ❌ 下载 000524.SZ (岭南控股) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,322 - ERROR - ❌ 下载 000526.SZ (学大教育) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,399 - ERROR - ❌ 下载 000528.SZ (柳    工) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,408 - ERROR - ❌ 下载 000529.SZ (广弘控股) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,488 - ERROR - ❌ 下载 000530.SZ (冰山冷热) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,529 - ERROR - ❌ 下载 000531.SZ (穗恒运Ａ) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,553 - ERROR - ❌ 下载 000533.SZ (顺钠股份) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,554 - ERROR - ❌ 下载 000534.SZ (万泽股份) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,561 - ERROR - ❌ 下载 000536.SZ (华映科技) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,616 - ERROR - ❌ 下载 000532.SZ (华金资本) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,636 - ERROR - ❌ 下载 000537.SZ (绿发电力) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,643 - ERROR - ❌ 下载 000538.SZ (云南白药) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,697 - ERROR - ❌ 下载 000539.SZ (粤电力Ａ) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,788 - ERROR - ❌ 下载 000541.SZ (佛山照明) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,817 - ERROR - ❌ 下载 000544.SZ (中原环保) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,824 - ERROR - ❌ 下载 000546.SZ (金圆股份) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,832 - ERROR - ❌ 下载 000543.SZ (皖能电力) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,839 - ERROR - ❌ 下载 000545.SZ (金浦钛业) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,856 - ERROR - ❌ 下载 000547.SZ (航天发展) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,899 - ERROR - ❌ 下载 000548.SZ (湖南投资) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:42,933 - ERROR - ❌ 下载 000550.SZ (江铃汽车) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:43,019 - ERROR - ❌ 下载 000551.SZ (创元科技) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:43,040 - ERROR - ❌ 下载 000552.SZ (甘肃能化) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:43,108 - ERROR - ❌ 下载 000553.SZ (安道麦A) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:43,155 - ERROR - ❌ 下载 000554.SZ (泰山石油) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:43,164 - ERROR - ❌ 下载 000559.SZ (万向钱潮) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:43,172 - ERROR - ❌ 下载 000557.SZ (西部创业) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:43,184 - ERROR - ❌ 下载 000558.SZ (天府文旅) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:43,184 - ERROR - ❌ 下载 000555.SZ (神州信息) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:43,268 - ERROR - ❌ 下载 000561.SZ (烽火电子) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:43,278 - ERROR - ❌ 下载 000560.SZ (我爱我家) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:43,348 - ERROR - ❌ 下载 000563.SZ (陕国投Ａ) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
