date,open,close,high,low,volume,amount,amplitude,change_percent,change_amount,turnover,symbol
2021-03-31,3452.21,3441.91,3452.21,3420.83,283049262,314174119936.0,0.91,-0.43,-14.77,0.59,000001.SH
2021-04-01,3444.81,3466.33,3470.03,3438.83,275244296,292651913216.0,0.91,0.71,24.42,0.58,000001.SH
2021-04-02,3472.63,3484.39,3487.59,3462.83,262654874,317953200128.0,0.71,0.52,18.06,0.55,000001.SH
2021-04-06,3491.63,3482.97,3493.28,3471.76,234746670,286329671680.0,0.62,-0.04,-1.42,0.49,000001.SH
2021-04-07,3483.42,3479.63,3483.42,3453.19,295786977,323650985984.0,0.87,-0.1,-3.34,0.62,000001.SH
2021-04-08,3467.49,3482.55,3495.91,3459.32,331755328,348011327488.0,1.05,0.08,2.92,0.69,000001.SH
2021-04-09,3475.44,3450.68,3475.45,3442.14,280085197,306422226944.0,0.96,-0.92,-31.87,0.59,000001.SH
2021-04-12,3445.97,3412.95,3456.16,3403.9,309577239,338890338304.0,1.51,-1.09,-37.73,0.65,000001.SH
2021-04-13,3411.29,3396.47,3425.39,3387.9,270626053,290539880448.0,1.1,-0.48,-16.48,0.57,000001.SH
2021-04-14,3397.02,3416.72,3420.03,3392.98,233242327,269010071552.0,0.8,0.6,20.25,0.49,000001.SH
2021-04-15,3409.61,3398.99,3409.61,3373.09,234005053,272569196544.0,1.07,-0.52,-17.73,0.49,000001.SH
2021-04-16,3407.19,3426.62,3432.63,3394.13,258579671,295951093760.0,1.13,0.81,27.63,0.54,000001.SH
2021-04-19,3427.55,3477.55,3479.01,3414.36,302735818,368472469504.0,1.89,1.49,50.93,0.63,000001.SH
2021-04-20,3467.15,3472.94,3494.3,3463.46,285300083,358982766592.0,0.89,-0.13,-4.61,0.6,000001.SH
2021-04-21,3456.3,3472.93,3481.25,3450.11,253777859,323914145792.0,0.9,0.0,-0.01,0.53,000001.SH
2021-04-22,3482.83,3465.11,3485.36,3456.32,251114511,317081034752.0,0.84,-0.23,-7.82,0.53,000001.SH
2021-04-23,3462.09,3474.17,3482.36,3456.33,249360433,323015933952.0,0.75,0.26,9.06,0.52,000001.SH
2021-04-26,3484.11,3441.17,3497.12,3438.57,276970770,388161675264.0,1.69,-0.95,-33.0,0.58,000001.SH
2021-04-27,3440.09,3442.61,3443.85,3417.26,253032394,327046021120.0,0.77,0.04,1.44,0.53,000001.SH
2021-04-28,3432.16,3457.07,3457.07,3423.33,247381120,349669208064.0,0.98,0.42,14.46,0.52,000001.SH
2021-04-29,3458.08,3474.9,3478.23,3447.59,276631388,371611590656.0,0.89,0.52,17.83,0.58,000001.SH
2021-04-30,3468.3,3446.86,3469.09,3426.9,312660355,401442336768.0,1.21,-0.81,-28.04,0.65,000001.SH
2021-05-06,3446.07,3441.28,3471.24,3426.85,310424192,400525168640.0,1.29,-0.16,-5.58,0.65,000001.SH
2021-05-07,3446.41,3418.87,3457.89,3416.78,353785390,411078840320.0,1.19,-0.65,-22.41,0.74,000001.SH
2021-05-10,3423.59,3427.99,3429.74,3401.93,374170885,399717548032.0,0.81,0.27,9.12,0.78,000001.SH
2021-05-11,3406.6,3441.85,3448.1,3384.7,350934113,390326272000.0,1.85,0.4,13.86,0.73,000001.SH
2021-05-12,3429.75,3462.75,3466.37,3428.39,311444547,343860408320.0,1.1,0.61,20.9,0.65,000001.SH
2021-05-13,3432.14,3429.54,3448.02,3418.38,319325327,356376915968.0,0.86,-0.96,-33.21,0.67,000001.SH
2021-05-14,3436.09,3490.38,3490.64,3422.56,336982308,411116941312.0,1.99,1.77,60.84,0.7,000001.SH
2021-05-17,3490.41,3517.62,3530.51,3490.14,322135969,424476782592.0,1.16,0.78,27.24,0.67,000001.SH
2021-05-18,3520.65,3529.01,3529.01,3510.86,271308559,336028774400.0,0.52,0.32,11.39,0.57,000001.SH
2021-05-19,3521.11,3510.96,3521.11,3503.82,278321116,349973151744.0,0.49,-0.51,-18.05,0.58,000001.SH
2021-05-20,3500.88,3506.94,3517.74,3486.07,326009334,390355320832.0,0.9,-0.11,-4.02,0.68,000001.SH
2021-05-21,3510.84,3486.56,3518.38,3479.67,283826286,356025929728.0,1.1,-0.58,-20.38,0.59,000001.SH
2021-05-24,3486.27,3497.28,3498.3,3469.87,289509243,367181627392.0,0.82,0.31,10.72,0.61,000001.SH
2021-05-25,3502.54,3581.34,3584.58,3502.44,341241126,472213532672.0,2.35,2.4,84.06,0.71,000001.SH
2021-05-26,3586.84,3593.36,3603.49,3585.37,341980288,455831257088.0,0.51,0.34,12.02,0.72,000001.SH
2021-05-27,3585.73,3608.85,3626.36,3579.26,309551485,429004238848.0,1.31,0.43,15.49,0.65,000001.SH
2021-05-28,3610.77,3600.78,3622.18,3582.36,349208829,452445032448.0,1.1,-0.22,-8.07,0.73,000001.SH
2021-05-31,3600.07,3615.48,3615.66,3580.65,331523771,449694380032.0,0.97,0.41,14.7,0.69,000001.SH
