date,open,close,high,low,volume,amount,amplitude,change_percent,change_amount,turnover,symbol
2024-10-28,2228.08,2229.12,2236.47,2198.89,346139425,575603204265.11,1.68,-0.44,-9.78,6.37,399006.SZ
2024-10-29,2231.82,2177.31,2239.26,2175.81,371919397,631639273936.83,2.85,-2.32,-51.81,6.85,399006.SZ
2024-10-30,2156.28,2151.51,2179.94,2127.63,327522148,556470811530.25,2.4,-1.18,-25.8,6.03,399006.SZ
2024-10-31,2145.66,2164.46,2204.86,2130.27,371664787,648857390676.51,3.47,0.6,12.95,6.84,399006.SZ
2024-11-01,2149.94,2123.74,2166.52,2120.73,372803871,600618206725.83,2.12,-1.88,-40.72,6.86,399006.SZ
2024-11-04,2122.98,2185.98,2187.38,2122.98,254734109,432571054067.64,3.03,2.93,62.24,4.69,399006.SZ
2024-11-05,2184.9,2289.84,2301.99,2172.52,350837107,638795092728.26,5.92,4.75,103.86,6.46,399006.SZ
2024-11-06,2290.67,2265.83,2360.88,2247.04,403030177,728928556603.8,4.97,-1.05,-24.01,7.42,399006.SZ
2024-11-07,2244.96,2350.76,2350.76,2240.25,405904223,678138690615.92,4.88,3.75,84.93,7.47,399006.SZ
2024-11-08,2396.87,2321.59,2402.38,2317.51,413769211,747609087707.33,3.61,-1.24,-29.17,7.62,399006.SZ
2024-11-11,2298.62,2392.44,2393.58,2296.32,377529598,706763481556.26,4.19,3.05,70.85,6.95,399006.SZ
2024-11-12,2416.21,2390.8,2448.2,2362.57,378754158,707260634033.2,3.58,-0.07,-1.64,6.97,399006.SZ
2024-11-13,2367.16,2417.25,2427.16,2345.06,299809058,561278092963.55,3.43,1.11,26.45,5.52,399006.SZ
2024-11-14,2411.29,2334.96,2419.69,2331.68,270788688,494484895739.92,3.64,-3.4,-82.29,4.99,399006.SZ
2024-11-15,2318.94,2243.62,2338.56,2243.62,289330900,518610190540.13,4.07,-3.91,-91.34,5.33,399006.SZ
2024-11-18,2244.32,2190.95,2254.92,2173.18,283518400,466115253935.41,3.64,-2.35,-52.67,5.22,399006.SZ
2024-11-19,2200.13,2256.61,2261.59,2173.45,244199501,409157860094.36,4.02,3.0,65.66,4.5,399006.SZ
2024-11-20,2242.6,2267.85,2283.75,2239.77,288681253,465811764066.41,1.95,0.5,11.24,5.32,399006.SZ
2024-11-21,2254.27,2265.87,2281.16,2248.38,282320627,463565223384.54,1.45,-0.09,-1.98,5.2,399006.SZ
2024-11-22,2257.95,2175.57,2269.27,2175.57,301571728,489001762887.32,4.14,-3.99,-90.3,5.55,399006.SZ
2024-11-25,2184.1,2175.18,2193.68,2140.48,251575908,398471227575.64,2.45,-0.02,-0.39,4.63,399006.SZ
2024-11-26,2163.37,2150.1,2187.12,2148.14,233179805,360457121013.08,1.79,-1.15,-25.08,4.29,399006.SZ
2024-11-27,2136.71,2208.78,2209.16,2119.54,258006971,401330159441.23,4.17,2.73,58.68,4.75,399006.SZ
2024-11-28,2204.49,2169.8,2206.85,2165.53,276399803,419813252334.75,1.87,-1.76,-38.98,5.09,399006.SZ
2024-11-29,2162.52,2224.0,2264.68,2162.52,302880301,501365261418.35,4.71,2.5,54.2,5.58,399006.SZ
2024-12-02,2212.36,2255.5,2261.14,2210.86,311350090,505969429383.02,2.26,1.42,31.5,5.73,399006.SZ
2024-12-03,2252.75,2245.5,2261.39,2224.69,306481107,482235795863.47,1.63,-0.44,-10.0,5.64,399006.SZ
2024-12-04,2237.65,2213.41,2246.04,2204.39,289942124,459314971219.4,1.85,-1.43,-32.09,5.34,399006.SZ
2024-12-05,2207.5,2221.46,2237.09,2207.5,270063838,440343428750.97,1.34,0.36,8.05,4.97,399006.SZ
2024-12-06,2219.91,2267.06,2289.81,2213.32,315853926,509916084535.53,3.44,2.05,45.6,5.82,399006.SZ
2024-12-09,2265.19,2248.63,2273.08,2229.51,275288754,441668691858.62,1.92,-0.81,-18.43,5.07,399006.SZ
2024-12-10,2358.29,2264.05,2358.49,2258.02,368365343,633302801446.92,4.47,0.69,15.42,6.78,399006.SZ
2024-12-11,2260.7,2261.58,2278.79,2251.35,294926754,488392484586.13,1.21,-0.11,-2.47,5.43,399006.SZ
2024-12-12,2257.31,2292.15,2302.64,2256.07,308420591,510495451011.38,2.06,1.35,30.57,5.68,399006.SZ
2024-12-13,2272.27,2235.26,2276.13,2234.17,328537971,561357989318.59,1.83,-2.48,-56.89,6.05,399006.SZ
2024-12-16,2232.62,2201.53,2234.19,2192.25,273787934,450274741041.91,1.88,-1.51,-33.73,5.04,399006.SZ
2024-12-17,2197.13,2201.18,2233.17,2197.13,248753481,397265265014.27,1.64,-0.02,-0.35,4.58,399006.SZ
2024-12-18,2207.18,2202.14,2216.0,2192.6,216481476,354895982597.8,1.06,0.04,0.96,3.99,399006.SZ
2024-12-19,2178.46,2213.54,2220.43,2174.94,221719261,375784424939.35,2.07,0.52,11.4,4.08,399006.SZ
2024-12-20,2209.38,2209.66,2234.13,2201.94,230049274,427247917560.18,1.45,-0.18,-3.88,4.24,399006.SZ
2024-12-23,2205.69,2187.94,2223.64,2185.35,245538770,409610368907.76,1.73,-0.98,-21.72,4.52,399006.SZ
2024-12-24,2190.47,2213.55,2215.19,2187.78,200966406,349402388357.77,1.25,1.17,25.61,3.7,399006.SZ
2024-12-25,2215.61,2201.3,2216.36,2187.0,203868100,337460267678.8,1.33,-0.55,-12.25,3.75,399006.SZ
2024-12-26,2200.32,2209.85,2219.69,2193.59,184436467,347293434638.28,1.19,0.39,8.55,3.4,399006.SZ
2024-12-27,2209.71,2204.9,2235.56,2196.29,207513529,385898226139.63,1.78,-0.22,-4.95,3.82,399006.SZ
2024-12-30,2198.86,2206.29,2218.74,2198.12,187201460,342205734093.04,0.94,0.06,1.39,3.45,399006.SZ
2024-12-31,2202.18,2141.6,2207.31,2141.6,199428413,352199463928.64,2.98,-2.93,-64.69,3.67,399006.SZ
